('LIFE', [-0.001773422224750829, 0.062783496692963306])
('BOCH', [0.0002309410929299178, 0.024093822053708192])
('VTHR', [-0.00054120756346587133, 0.0094003969668897056])
('NYV', [-0.00014018463565347336, 0.0072507281410765737])
('ISDR', [0.010899690896047257, 0.16837893965219433])
('DLA', [-3.4843231988562473e-05, 0.029154241242345839])
('SGMO', [0.0016514627173737691, 0.059506257568064519])
('ERII', [0.0015640874297861017, 0.040595407089238505])
('JBHT', [-0.00020788401458286058, 0.025477473036432302])
('ERIE', [-0.00023974866966932419, 0.02009117524816012])
('NRCIA', [0.00093240126202304488, 0.028705590625057446])
('ERIC', [0.00030149051925093133, 0.032000652974712267])
('NRCIB', [0.00073982455364460871, 0.049923936713696181])
('XENT', [-0.0026958432861478323, 0.03228134790987186])
('PFPT', [-0.00143874305860109, 0.028680914274074251])
('CEV', [-0.00012032473352877958, 0.012456855205881377])
('SPP', [0.0018302329370259325, 0.039417264571764817])
('VRTA', [0.0022930042340393469, 0.057487623292988128])
('VRTB', [0.0022922678352471724, 0.051593062827464301])
('SCLN', [0.0014142421700866579, 0.054305129801209558])
('CRBP', [0.0053626634183188424, 0.074636928376080672])
('TINY', [0.00085076286443861381, 0.041059732408446882])
('PHMD', [0.0029374853041041699, 0.060125825579927183])
('PTNR', [0.00055986616592689246, 0.027967518808172165])
('TRVN', [0.0011243993658664273, 0.040560095907793789])
('PTNT', [0.0021821221462214853, 0.05380509962040822])
('ALNY', [-0.00040300994865039388, 0.034822990006098196])
('VRTS', [-0.0010290818493078058, 0.030130970774411275])
('VRTU', [-0.00022733620804227725, 0.030704780786834567])
('ENDP', [-3.5874351936438233e-05, 0.032328067011951352])
('GT', [0.00010904505513108252, 0.024229104215242186])
('GLADO', [-0.0002675266295127705, 0.0055264917505402364])
('MEIL', [0.0061419790507850928, 0.069359796009721808])
('XPL', [0.0016031779673245196, 0.039395602813887383])
('CBLI', [0.0031710525867769289, 0.06151160749956245])
('NWBOW', [-0.00025726253115342606, 0.077497566992213052])
('MNKD', [0.0015966250955607632, 0.05237957630539513])
('TRTL', [-0.00019877748180088597, 0.00876361697789221])
('OSBCP', [0.00014320510574073912, 0.028976976345533371])
('RDWR', [0.00050772631942275735, 0.034469562784936222])
